Format Version,1.22,Take Name,Right_Ref_Refl,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-05 08.08.13.335 AM,Total Frames in Take,2090,Total Exported Frames,2090,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,"Reference:Marker1","Reference:Marker1","Reference:Marker1","Reference:Marker1","Reference:Marker2","Reference:Marker2","Reference:Marker2","Reference:Marker2","Reference:Marker3","Reference:Marker3","Reference:Marker3","Reference:Marker3","Reference:Marker4","Reference:Marker4","Reference:Marker4","Reference:Marker4",Reference:Marker1,Reference:Marker1,Reference:Marker1,Reference:Marker2,Reference:Marker2,Reference:Marker2,Reference:Marker3,Reference:Marker3,Reference:Marker3,Reference:Marker4,Reference:Marker4,Reference:Marker4,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035
,,"1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","1CB35C1698A811E87C158CA0568DE94","3843489F98A811E87C158CA0568DE94","3843489F98A811E87C158CA0568DE94","3843489F98A811E87C158CA0568DE94","384348A098A811E87C158CA0568DE94","384348A098A811E87C158CA0568DE94","384348A098A811E87C158CA0568DE94","384348A198A811E87C158CA0568DE94","384348A198A811E87C158CA0568DE94","384348A198A811E87C158CA0568DE94","384348A298A811E87C158CA0568DE94","384348A298A811E87C158CA0568DE94","384348A298A811E87C158CA0568DE94","C49F0","C49F0","C49F0","C50E0","C50E0","C50E0","C50F0","C50F0","C50F0","C5100","C5100","C5100","C5110","C5110","C5110","C5120","C5120","C5120","C5130","C5130","C5130","C5140","C5140","C5140","C5150","C5150","C5150","C5160","C5160","C5160","C5180","C5180","C5180","C51A0","C51A0","C51A0","C51B0","C51B0","C51B0","C51C0","C51C0","C51C0","C51D0","C51D0","C51D0","C51E0","C51E0","C51E0","C5200","C5200","C5200","C5210","C5210","C5210","C5220","C5220","C5220","C5230","C5230","C5230","C5240","C5240","C5240","C5260","C5260","C5260","C5270","C5270","C5270","C5280","C5280","C5280","C5290","C5290","C5290","C52A0","C52A0","C52A0","C52B0","C52B0","C52B0","C52C0","C52C0","C52C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.018023,-0.080116,-0.170490,-0.981932,-0.254093,0.252719,2.662772,0.000000,-0.276976,0.245911,2.776454,0.884876,-0.268811,0.244797,2.670807,0.836509,-0.300006,0.254972,2.528620,0.900548,-0.170577,0.265198,2.675208,0.842590,-0.276976,0.245911,2.776454,-0.268811,0.244797,2.670807,-0.300006,0.254972,2.528620,-0.170577,0.265198,2.675208,-0.283083,0.236311,2.775203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,-0.018186,-0.080402,-0.164999,-0.982843,-0.253869,0.252427,2.662709,0.000000,-0.276751,0.245952,2.776411,0.884876,-0.268669,0.244674,2.670759,0.836509,-0.299845,0.255097,2.528586,0.900548,-0.170212,0.263985,2.675080,0.842590,-0.276751,0.245952,2.776411,-0.268669,0.244674,2.670759,-0.299845,0.255097,2.528586,-0.170212,0.263985,2.675080,-0.283123,0.236350,2.775182,-0.160527,0.261364,2.675302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-0.018294,-0.080131,-0.170310,-0.981957,-0.254030,0.252662,2.662762,0.000000,-0.276902,0.245807,2.776444,0.884876,-0.268750,0.244741,2.670795,0.836509,-0.299960,0.254999,2.528617,0.900548,-0.170508,0.265100,2.675193,0.842590,-0.276902,0.245807,2.776444,-0.268750,0.244741,2.670795,-0.299960,0.254999,2.528617,-0.170508,0.265100,2.675193,-0.283163,0.236370,2.775157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,-0.016187,-0.079187,-0.169416,-0.982225,-0.254149,0.252800,2.662627,0.000000,-0.277324,0.246432,2.776275,0.884876,-0.268902,0.244934,2.670653,0.836509,-0.299728,0.254676,2.528355,0.900548,-0.170640,0.265159,2.675224,0.842590,-0.277324,0.246432,2.776275,-0.268902,0.244934,2.670653,-0.299728,0.254676,2.528355,-0.170640,0.265159,2.675224,-0.283090,0.236438,2.775172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,-0.016366,-0.079193,-0.168835,-0.982322,-0.254251,0.252717,2.662631,0.000000,-0.277425,0.246347,2.776279,0.884876,-0.269013,0.244867,2.670656,0.836509,-0.299838,0.254681,2.528363,0.900548,-0.170726,0.264972,2.675225,0.842590,-0.277425,0.246347,2.776279,-0.269013,0.244867,2.670656,-0.299838,0.254681,2.528363,-0.170726,0.264972,2.675225,-0.283108,0.236449,2.775173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-0.016457,-0.079765,-0.163490,-0.983178,-0.254108,0.252509,2.662554,0.000000,-0.277214,0.246491,2.776235,0.884876,-0.268945,0.244826,2.670604,0.836509,-0.299833,0.254847,2.528338,0.900548,-0.170442,0.263874,2.675038,0.842590,-0.277214,0.246491,2.776235,-0.268945,0.244826,2.670604,-0.299833,0.254847,2.528338,-0.170442,0.263874,2.675038,-0.283096,0.236384,2.775100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
