Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,"Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker5","Kiryu's radar:Marker5","Kiryu's radar:Marker5","Kiryu's radar:Marker5",Kiryu's radar:Marker1,Kiryu's radar:Marker1,Kiryu's radar:Marker1,Kiryu's radar:Marker2,Kiryu's radar:Marker2,Kiryu's radar:Marker2,Kiryu's radar:Marker3,Kiryu's radar:Marker3,Kiryu's radar:Marker3,Kiryu's radar:Marker4,Kiryu's radar:Marker4,Kiryu's radar:Marker4,Kiryu's radar:Marker5,Kiryu's radar:Marker5,Kiryu's radar:Marker5,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243
,,"59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","5EEC883A8B6111E87C158CA0568DC94","5EEC883A8B6111E87C158CA0568DC94","5EEC883A8B6111E87C158CA0568DC94","5EEC883B8B6111E87C158CA0568DC94","5EEC883B8B6111E87C158CA0568DC94","5EEC883B8B6111E87C158CA0568DC94","5EEC883C8B6111E87C158CA0568DC94","5EEC883C8B6111E87C158CA0568DC94","5EEC883C8B6111E87C158CA0568DC94","5EEC883D8B6111E87C158CA0568DC94","5EEC883D8B6111E87C158CA0568DC94","5EEC883D8B6111E87C158CA0568DC94","5EEC883E8B6111E87C158CA0568DC94","5EEC883E8B6111E87C158CA0568DC94","5EEC883E8B6111E87C158CA0568DC94","CA9F0","CA9F0","CA9F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.009326,-0.005019,0.040036,-0.999142,-3.760623,0.926840,2.428740,0.000000,-3.660852,0.915383,2.315517,0.857610,-3.653770,0.916563,2.537019,0.850841,-3.602641,0.909587,2.422709,0.885852,-3.941374,0.946794,2.363340,0.925345,-3.944478,0.945873,2.505116,0.744827,-3.660852,0.915383,2.315517,-3.653770,0.916563,2.537019,-3.602641,0.909587,2.422709,-3.941374,0.946794,2.363340,-3.944478,0.945873,2.505116,,,
1,0.002778,0.008822,-0.005012,0.040440,-0.999130,-3.760608,0.926931,2.428760,0.000000,-3.660839,0.915506,2.315532,0.857610,-3.653770,0.916458,2.537035,0.850841,-3.602639,0.909556,2.422721,0.885852,-3.941338,0.947098,2.363369,0.925345,-3.944452,0.946037,2.505143,0.744827,-3.660839,0.915506,2.315532,-3.653770,0.916458,2.537035,-3.602639,0.909556,2.422721,-3.941338,0.947098,2.363369,-3.944452,0.946037,2.505143,,,
2,0.005556,0.008911,-0.005225,0.040560,-0.999124,-3.760618,0.926972,2.428748,0.000000,-3.660901,0.915505,2.315479,0.851197,-3.653736,0.916491,2.536979,0.836606,-3.602656,0.909558,2.422644,0.898111,-3.941372,0.947172,2.363431,0.921773,-3.944425,0.946135,2.505207,0.754192,-3.660901,0.915505,2.315479,-3.653736,0.916491,2.536979,-3.602656,0.909558,2.422644,-3.941372,0.947172,2.363431,-3.944425,0.946135,2.505207,,,
3,0.008333,0.008932,-0.005064,0.040794,-0.999115,-3.760721,0.926870,2.428795,0.000000,-3.660972,0.915350,2.315559,0.865456,-3.653879,0.916345,2.537061,0.856238,-3.602765,0.909382,2.422743,0.897742,-3.941444,0.947150,2.363419,0.928763,-3.944543,0.946123,2.505194,0.753346,-3.660972,0.915350,2.315559,-3.653879,0.916345,2.537061,-3.602765,0.909382,2.422743,-3.941444,0.947150,2.363419,-3.944543,0.946123,2.505194,,,
4,0.011111,0.009044,-0.005105,0.040485,-0.999126,-3.760867,0.926805,2.428771,0.000000,-3.661122,0.915322,2.315527,0.859425,-3.654008,0.916370,2.537029,0.847425,-3.602901,0.909413,2.422708,0.904112,-3.941608,0.946959,2.363407,0.927043,-3.944694,0.945960,2.505183,0.757943,-3.661122,0.915322,2.315527,-3.654008,0.916370,2.537029,-3.602901,0.909413,2.422708,-3.941608,0.946959,2.363407,-3.944694,0.945960,2.505183,,,
5,0.013889,0.009243,-0.005332,0.040474,-0.999124,-3.760736,0.926912,2.428706,0.000000,-3.661044,0.915388,2.315420,0.864072,-3.653826,0.916520,2.536918,0.854021,-3.602772,0.909520,2.422575,0.893503,-3.941509,0.947038,2.363420,0.929144,-3.944527,0.946093,2.505198,0.745018,-3.661044,0.915388,2.315420,-3.653826,0.916520,2.536918,-3.602772,0.909520,2.422575,-3.941509,0.947038,2.363420,-3.944527,0.946093,2.505198,,,
