Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,Kiryu's radar,"Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker1","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker2","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker3","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker4","Kiryu's radar:Marker5","Kiryu's radar:Marker5","Kiryu's radar:Marker5","Kiryu's radar:Marker5",Kiryu's radar:Marker1,Kiryu's radar:Marker1,Kiryu's radar:Marker1,Kiryu's radar:Marker2,Kiryu's radar:Marker2,Kiryu's radar:Marker2,Kiryu's radar:Marker3,Kiryu's radar:Marker3,Kiryu's radar:Marker3,Kiryu's radar:Marker4,Kiryu's radar:Marker4,Kiryu's radar:Marker4,Kiryu's radar:Marker5,Kiryu's radar:Marker5,Kiryu's radar:Marker5
,,"59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","59BC673B8B6011E87C158CA0568DC94","E5921B2F8B6111E87C158CA0568DC94","E5921B2F8B6111E87C158CA0568DC94","E5921B2F8B6111E87C158CA0568DC94","E5921B308B6111E87C158CA0568DC94","E5921B308B6111E87C158CA0568DC94","E5921B308B6111E87C158CA0568DC94","E5921B318B6111E87C158CA0568DC94","E5921B318B6111E87C158CA0568DC94","E5921B318B6111E87C158CA0568DC94","E5921B328B6111E87C158CA0568DC94","E5921B328B6111E87C158CA0568DC94","E5921B328B6111E87C158CA0568DC94","E5921B338B6111E87C158CA0568DC94","E5921B338B6111E87C158CA0568DC94","E5921B338B6111E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000753,0.193429,0.066354,-0.978868,-4.399410,0.953512,2.247012,0.000000,-4.264118,0.936040,2.181469,0.941018,-4.343818,0.938964,2.388240,0.874062,-4.252617,0.928374,2.302800,0.959957,-4.539188,0.981803,2.116598,0.884671,-4.597308,0.982380,2.245952,0.910268,-4.264118,0.936040,2.181469,-4.343818,0.938964,2.388240,-4.252617,0.928374,2.302800,-4.539188,0.981803,2.116598,-4.597308,0.982380,2.245952
1,0.002778,0.000091,0.193673,0.066285,-0.978824,-4.399323,0.953692,2.247175,0.000000,-4.263987,0.936353,2.181690,0.941018,-4.343808,0.938990,2.388417,0.874062,-4.252553,0.928541,2.303018,0.959957,-4.539037,0.982091,2.116714,0.884671,-4.597232,0.982485,2.246036,0.910268,-4.263987,0.936353,2.181690,-4.343808,0.938990,2.388417,-4.252553,0.928541,2.303018,-4.539037,0.982091,2.116714,-4.597232,0.982485,2.246036
2,0.005556,0.000920,0.193588,0.066414,-0.978832,-4.399355,0.953518,2.247102,0.000000,-4.264047,0.936000,2.181606,0.927962,-4.343809,0.939005,2.388351,0.868490,-4.252584,0.928371,2.302943,0.968105,-4.539089,0.981793,2.116636,0.886942,-4.597248,0.982423,2.245972,0.906546,-4.264047,0.936000,2.181606,-4.343809,0.939005,2.388351,-4.252584,0.928371,2.302943,-4.539089,0.981793,2.116636,-4.597248,0.982423,2.245972
3,0.008333,0.000629,0.193434,0.065595,-0.978918,-4.399158,0.953782,2.247028,0.000000,-4.263839,0.936515,2.181487,0.934997,-4.343544,0.939326,2.388257,0.880134,-4.252327,0.928873,2.302818,0.959341,-4.538979,0.981851,2.116611,0.888416,-4.597100,0.982345,2.245965,0.910415,-4.263839,0.936515,2.181487,-4.343544,0.939326,2.388257,-4.252327,0.928873,2.302818,-4.538979,0.981851,2.116611,-4.597100,0.982345,2.245965
4,0.011111,-0.000110,0.193726,0.065722,-0.978852,-4.399313,0.953654,2.247084,0.000000,-4.263948,0.936486,2.181612,0.939484,-4.343798,0.938994,2.388331,0.887833,-4.252521,0.928668,2.302940,0.965120,-4.539044,0.981909,2.116612,0.888748,-4.597256,0.982213,2.245926,0.906660,-4.263948,0.936486,2.181612,-4.343798,0.938994,2.388331,-4.252521,0.928668,2.302940,-4.539044,0.981909,2.116612,-4.597256,0.982213,2.245926
5,0.013889,0.001050,0.193433,0.066248,-0.978874,-4.399381,0.953551,2.246978,0.000000,-4.264090,0.936051,2.181442,0.938795,-4.343783,0.939096,2.388214,0.872768,-4.252584,0.928462,2.302777,0.960463,-4.539166,0.981748,2.116551,0.883796,-4.597282,0.982400,2.245907,0.909673,-4.264090,0.936051,2.181442,-4.343783,0.939096,2.388214,-4.252584,0.928462,2.302777,-4.539166,0.981748,2.116551,-4.597282,0.982400,2.245907
