Format Version,1.22,Take Name,triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-04 02.06.28.010 PM,Total Frames in Take,1221,Total Exported Frames,1221,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,triangle,triangle,triangle,triangle,triangle,triangle,triangle,triangle,"triangle:Marker1","triangle:Marker1","triangle:Marker1","triangle:Marker1","triangle:Marker2","triangle:Marker2","triangle:Marker2","triangle:Marker2","triangle:Marker3","triangle:Marker3","triangle:Marker3","triangle:Marker3","triangle:Marker4","triangle:Marker4","triangle:Marker4","triangle:Marker4",triangle:Marker1,triangle:Marker1,triangle:Marker1,triangle:Marker2,triangle:Marker2,triangle:Marker2,triangle:Marker3,triangle:Marker3,triangle:Marker3,triangle:Marker4,triangle:Marker4,triangle:Marker4,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026
,,"963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","963A66D9981011E87C158CA0568DD94","19D31357981111E87C158CA0568DD94","19D31357981111E87C158CA0568DD94","19D31357981111E87C158CA0568DD94","19D31358981111E87C158CA0568DD94","19D31358981111E87C158CA0568DD94","19D31358981111E87C158CA0568DD94","19D31359981111E87C158CA0568DD94","19D31359981111E87C158CA0568DD94","19D31359981111E87C158CA0568DD94","19D3135A981111E87C158CA0568DD94","19D3135A981111E87C158CA0568DD94","19D3135A981111E87C158CA0568DD94","C6690","C6690","C6690","C66A0","C66A0","C66A0","C66B0","C66B0","C66B0","C66C0","C66C0","C66C0","C66D0","C66D0","C66D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.018380,-0.801934,-0.101637,-0.588417,0.502967,0.223850,-1.146991,0.000000,0.490628,0.223837,-1.138047,0.939304,0.474243,0.220994,-1.033640,0.879476,0.458801,0.218094,-1.283346,0.955252,0.588197,0.232474,-1.132929,0.937015,0.490628,0.223837,-1.138047,0.474243,0.220994,-1.033640,0.458801,0.218094,-1.283346,0.588197,0.232474,-1.132929,-3.248004,1.168210,0.596277,-3.286195,1.174027,0.674388,-3.328728,1.175987,0.546414,-3.416228,1.170363,0.584908,-3.426228,1.173458,0.685371
1,0.002778,-0.020204,-0.802070,-0.099883,-0.588471,0.503047,0.223694,-1.147055,0.000000,0.490713,0.223750,-1.138105,0.939304,0.474367,0.221061,-1.033687,0.879476,0.458783,0.218065,-1.283384,0.955252,0.588327,0.231902,-1.133043,0.937015,0.490713,0.223750,-1.138105,0.474367,0.221061,-1.033687,0.458783,0.218065,-1.283384,0.588327,0.231902,-1.133043,-3.248029,1.168141,0.596277,-3.286359,1.173608,0.674567,-3.327672,1.177083,0.545889,-3.416248,1.170406,0.584874,-3.426473,1.174079,0.685029
2,0.005556,-0.016507,-0.801770,-0.102775,-0.588498,0.502788,0.223982,-1.146984,0.000000,0.490442,0.223920,-1.138049,0.920634,0.473991,0.221042,-1.033653,0.861542,0.458749,0.217989,-1.283370,0.947058,0.587969,0.232980,-1.132862,0.892866,0.490442,0.223920,-1.138049,0.473991,0.221042,-1.033653,0.458749,0.217989,-1.283370,0.587969,0.232980,-1.132862,-3.248034,1.168247,0.596276,-3.285554,1.174257,0.674253,-3.328505,1.176157,0.546276,-3.415987,1.170339,0.584898,-3.425977,1.173196,0.685050
3,0.008333,-0.017512,-0.802090,-0.101955,-0.588176,0.502975,0.223971,-1.146975,0.000000,0.490639,0.223941,-1.138027,0.933174,0.474299,0.221123,-1.033612,0.877601,0.458767,0.218062,-1.283311,0.947449,0.588194,0.232757,-1.132951,0.923404,0.490639,0.223941,-1.138027,0.474299,0.221123,-1.033612,0.458767,0.218062,-1.283311,0.588194,0.232757,-1.132951,-3.248023,1.168250,0.596257,-3.286342,1.173593,0.674549,-3.327830,1.176807,0.545488,-3.416230,1.170378,0.584904,-3.426012,1.173120,0.685058
4,0.011111,-0.019330,-0.801866,-0.100571,-0.588662,0.502930,0.223810,-1.147027,0.000000,0.490589,0.223838,-1.138086,0.966353,0.474171,0.221102,-1.033681,0.978674,0.458781,0.218100,-1.283389,0.977137,0.588181,0.232201,-1.132950,0.955629,0.490589,0.223838,-1.138086,0.474171,0.221102,-1.033681,0.458781,0.218100,-1.283389,0.588181,0.232201,-1.132950,-3.248009,1.168217,0.596264,-3.286067,1.173870,0.674474,-3.327818,1.176859,0.545509,-3.416198,1.170391,0.584841,-3.426196,1.173367,0.685343
5,0.013889,-0.015025,-0.802028,-0.104768,-0.587834,0.502880,0.224078,-1.147038,0.000000,0.490543,0.223943,-1.138092,0.918905,0.474211,0.220837,-1.033684,0.856480,0.458733,0.218064,-1.283389,0.944909,0.588030,0.233470,-1.132989,0.892151,0.490543,0.223943,-1.138092,0.474211,0.220837,-1.033684,0.458733,0.218064,-1.283389,0.588030,0.233470,-1.132989,-3.247761,1.168625,0.596240,-3.286054,1.173893,0.674520,-3.330108,1.173747,0.545371,-3.416226,1.170314,0.584914,-3.426220,1.173434,0.685347
