Format Version,1.22,Take Name,uassar3 triangle 3,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-04 07.22.43.084 PM,Total Frames in Take,1212,Total Exported Frames,1212,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Ref_Refl,Ref_Refl,Ref_Refl,Ref_Refl,Ref_Refl,Ref_Refl,Ref_Refl,Ref_Refl,"Ref_Refl:Marker1","Ref_Refl:Marker1","Ref_Refl:Marker1","Ref_Refl:Marker1","Ref_Refl:Marker2","Ref_Refl:Marker2","Ref_Refl:Marker2","Ref_Refl:Marker2","Ref_Refl:Marker3","Ref_Refl:Marker3","Ref_Refl:Marker3","Ref_Refl:Marker3","Ref_Refl:Marker4","Ref_Refl:Marker4","Ref_Refl:Marker4","Ref_Refl:Marker4",Ref_Refl:Marker1,Ref_Refl:Marker1,Ref_Refl:Marker1,Ref_Refl:Marker2,Ref_Refl:Marker2,Ref_Refl:Marker2,Ref_Refl:Marker3,Ref_Refl:Marker3,Ref_Refl:Marker3,Ref_Refl:Marker4,Ref_Refl:Marker4,Ref_Refl:Marker4
,,"320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","320516B1982A11E87C158CA0568DE94","46DF6B05983D11E87C158CA0568DE94","46DF6B05983D11E87C158CA0568DE94","46DF6B05983D11E87C158CA0568DE94","46DF6B06983D11E87C158CA0568DE94","46DF6B06983D11E87C158CA0568DE94","46DF6B06983D11E87C158CA0568DE94","46DF6B07983D11E87C158CA0568DE94","46DF6B07983D11E87C158CA0568DE94","46DF6B07983D11E87C158CA0568DE94","46DF6B08983D11E87C158CA0568DE94","46DF6B08983D11E87C158CA0568DE94","46DF6B08983D11E87C158CA0568DE94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.027998,0.104329,-0.044931,-0.993133,0.210460,0.233394,-0.345268,0.000000,0.224365,0.239827,-0.351914,0.730905,0.124931,0.216251,-0.355137,0.872745,0.260893,0.242406,-0.212830,0.884010,0.231651,0.235093,-0.461191,0.860632,0.224365,0.239827,-0.351914,0.124931,0.216251,-0.355137,0.260893,0.242406,-0.212830,0.231651,0.235093,-0.461191
1,0.002778,-0.026748,0.104512,-0.044907,-0.993149,0.210527,0.233365,-0.345204,0.000000,0.224437,0.239776,-0.351860,0.730905,0.124996,0.216225,-0.355072,0.872745,0.260901,0.242687,-0.212765,0.884010,0.231773,0.234771,-0.461121,0.860632,0.224437,0.239776,-0.351860,0.124996,0.216225,-0.355072,0.260901,0.242687,-0.212765,0.231773,0.234771,-0.461121
2,0.005556,-0.027174,0.104728,-0.044199,-0.993147,0.210322,0.233529,-0.345318,0.000000,0.224243,0.239929,-0.351962,0.734433,0.124773,0.216513,-0.355233,0.889178,0.260661,0.242650,-0.212852,0.891535,0.231611,0.235025,-0.461226,0.918247,0.224243,0.239929,-0.351962,0.124773,0.216513,-0.355233,0.260661,0.242650,-0.212852,0.231611,0.235025,-0.461226
3,0.008333,-0.026950,0.104079,-0.044699,-0.993199,0.210564,0.233353,-0.345163,0.000000,0.224470,0.239763,-0.351828,0.755244,0.125019,0.216247,-0.354960,0.933138,0.261060,0.242604,-0.212765,0.895589,0.231706,0.234799,-0.461098,0.905722,0.224470,0.239763,-0.351828,0.125019,0.216247,-0.354960,0.261060,0.242604,-0.212765,0.231706,0.234799,-0.461098
4,0.011111,-0.026387,0.104544,-0.043657,-0.993211,0.210396,0.233404,-0.345187,0.000000,0.224323,0.239777,-0.351845,0.711102,0.124822,0.216479,-0.355048,0.832536,0.260792,0.242657,-0.212751,0.897142,0.231648,0.234703,-0.461104,0.887380,0.224323,0.239777,-0.351845,0.124822,0.216479,-0.355048,0.260792,0.242657,-0.212751,0.231648,0.234703,-0.461104
5,0.013889,-0.027602,0.103600,-0.046248,-0.993160,0.210463,0.233264,-0.345072,0.000000,0.224342,0.239725,-0.351745,0.711159,0.124965,0.215890,-0.354807,0.840815,0.261051,0.242555,-0.212712,0.896399,0.231494,0.234886,-0.461025,0.892699,0.224342,0.239725,-0.351745,0.124965,0.215890,-0.354807,0.261051,0.242555,-0.212712,0.231494,0.234886,-0.461025
6,0.016667,-0.027563,0.104154,-0.043680,-0.993219,0.210452,0.233412,-0.345203,0.000000,0.224371,0.239804,-0.351859,0.750164,0.124875,0.216483,-0.355028,0.889375,0.260961,0.242376,-0.212791,0.895978,0.231601,0.234983,-0.461136,0.868977,0.224371,0.239804,-0.351859,0.124875,0.216483,-0.355028,0.260961,0.242376,-0.212791,0.231601,0.234983,-0.461136
7,0.019444,-0.026815,0.104033,-0.043793,-0.993247,0.210427,0.233527,-0.345177,0.000000,0.224344,0.239911,-0.351845,0.710366,0.124850,0.216577,-0.354961,0.840079,0.260959,0.242697,-0.212787,0.895560,0.231556,0.234924,-0.461115,0.886758,0.224344,0.239911,-0.351845,0.124850,0.216577,-0.354961,0.260959,0.242697,-0.212787,0.231556,0.234924,-0.461115
8,0.022222,-0.027444,0.104356,-0.044614,-0.993160,0.210533,0.233318,-0.345257,0.000000,0.224443,0.239734,-0.351909,0.714533,0.124991,0.216229,-0.355116,0.839143,0.260962,0.242429,-0.212824,0.895929,0.231734,0.234881,-0.461180,0.891883,0.224443,0.239734,-0.351909,0.124991,0.216229,-0.355116,0.260962,0.242429,-0.212824,0.231734,0.234881,-0.461180
